sales_outlet_id,manager,sales_outlet_type,store_address,store_city,store_state_province,store_neighborhood,store_telephone,store_postal_code
0,,headquarter,,,,,,
1,,FL,,,,,,
2,,warehouse,164-14 Jamaica Ave,Jamaica,NY,Jamaica,972-871-0402,11432
3,6,retail,32-20 Broadway,Long Island City,NY,Astoria,777-718-3190,11106
4,11,retail,604 Union Street,Brooklyn,NY,Gowanus,619-347-5193,11215
5,16,retail,100 Church Street,New York,NY,Lower Manhattan,343-212-5151,10007
6,21,retail,122 E Broadway,New York,NY,Lower East Side,613-555-4989,10002
7,26,retail,224 E 57th Street,New York,NY,Upper East Side,287-817-2330,10021
8,31,retail,687 9th Avenue,New York,NY,Hell's Kitchen,652-212-7020,10036
9,36,retail,175 8th Avenue,New York,NY,Chelsea,242-212-0080,10011
10,41,retail,183 W 10th Street,New York,NY,Greenwich Village,674-646-6434,10014
